objectid,filename,youtubeid,title,creator,date,description,subject,location,identifier,type,format,language,rights,rightsstatement
GL-001,beach.jpg,,My Comfort Places,Glyza Mae Magno,2026-01-29,"This item shows my comfort places where I feel calm and peaceful. These places help me relax, clear my mind, and feel emotionally safe, especially when I am tired or stressed.",Comfort places; Nature; Beach; Personal memories; Relaxation,"Mabua Pebble Beach, Philippines",beach,image,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
GL-002,college.jpg,,College Classmates,Glyza Mae Magno,2026-01-29,"This item represents my college classmates who share the same academic journey with me. It shows our friendship, teamwork, and memories as students, even though we are not yet graduates.",College life; Classmates; Friendship; Student experiences,"College campus, Philippines",college,image,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
GL-003,snh.jpg,,Senior High School Era,Glyza Mae Magno,2026-01-29,"This item represents my senior high school era, highlighting my experiences, lessons, and memories as a student. This period helped shape my skills, discipline, and personal growth.",Senior high school; Student life; School memories; Academic journey,"Senior high school campus, Philippines",snh,image,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
GL-004,family.jpg,,Magno Family,Glyza Mae Magno,2026-01-29,"This item represents the Magno family and shows the love, support, and bond shared among family members. It reflects family memories, togetherness, and the importance of family in my life.",Family; Magno family; Home life; Relationships; Family memories,"Family home, Philippines",family,image,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
GL-005,debu.jpg,,Glyza's Debu,Glyza Mae Magno,2026-01-29,"This item captures my debut celebration, a special milestone in my life. It shows the memorable moments, the people who shared this day with me, and the joy of celebrating my growth into a new chapter of life. Through this item, I share the excitement, memories, and significance of this important personal event.",Debut; Celebration; Coming-of-age; Personal milestone; Family and friends,Philippines,debu,image,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
GL-006,childhood.jpg,,Childhood picture,Glyza Mae Magno,2026-01-30,"This album contains photos from my childhood, capturing early memories and special moments.",Childhood,Philippines,childhood,image,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
GL-007,lola.jpg,,My Lola's,Glyza Mae Magno,2026-01-31,"This album contains photos of my lola, capturing precious memories and moments from her life.",Grandmother,Philippines,lola,image,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
GL-008,friends.jpg,,My friends,Glyza Mae Magno,2026-02-01,"This album contains photos of my friends, capturing fun moments and shared memories.",Friends,Philippines,friends,image,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
GL-009,glyza.pdf,,Autobiography,Glyza Mae Magno,2026-02-02,"This album presents my life story, highlighting important moments, experiences, and personal growth.",Autobiograpy,Philippines,glyza,text,application/pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
GL-010,cheerleading.mp4,,St. Paul's Week,Glyza Mae Magno,2026-02-03,"This video shows our participation in a cheerleading competition during St. Paul’s Week. It captures our teamwork, energy, and performance as students during the school celebration.",Dance,Philippines,cheerleading,moving image,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
