objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
Autobiography ,glyza.pdf,,,Autobiography of Glyza Mae Magno,Glyza Mae Magno,2026-01-29,"This PDF contains my autobiography. It tells about my personal life, experiences, education, family, and interests. It reflects my journey and growth as a student and individual.",Autobiography; Personal life; Life story; Experiences; Memories,Philippines,,,,,Text,pdf,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Cheerleading in St. Paul's Week,cheerleading.mp4,,,Cheerleading in St. Paul's Week,Glyza Mae Magno,2026-01-29,"This video shows our participation in a cheerleading competition during St. Paul’s Week. It captures our teamwork, energy, and performance as students during the school celebration.",Cheerleading; St. Paul’s Week; School events; Student activities; Competition,"St. Paul’s School, Philippines",,,,,Moving image,mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
My comfort places,beach.jpg,,,My Comfort Places,Glyza Mae Magno,2026-01-29,"This item shows my comfort places where I feel calm and peaceful. These places help me relax, clear my mind, and feel emotionally safe, especially when I am tired or stressed.",Comfort places; Nature; Beach; Personal memories; Relaxation,"Mabua Pebble Beach, Philippines",,,,,Image,jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
College classmates,college.jpg,,,College Classmates,Glyza Mae Magno,2026-01-29,"This item represents my college classmates who share the same academic journey with me. It shows our friendship, teamwork, and memories as students, even though we are not yet graduates.",College life; Classmates; Friendship; Student experiences,"College campus, Philippines",,,,,Image,jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Senior High School Era,snh.jpg,,,Senior High School Era,Glyza Mae Magno,2026-01-29,"This item represents my senior high school era, highlighting my experiences, lessons, and memories as a student. This period helped shape my skills, discipline, and personal growth.",Senior high school; Student life; School memories; Academic journey,"Senior high school campus, Philippines",,,,,Image,jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Magno Family,family.jpg,,,Magno Family,Glyza Mae Magno,2026-01-29,"This item represents the Magno family and shows the love, support, and bond shared among family members. It reflects family memories, togetherness, and the importance of family in my life.",Family; Magno family; Home life; Relationships; Family memories,"Family home, Philippines",,,,,Image,jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
My debut,debu.jpg,,,Glyza's Debu,Glyza Mae Magno,2026-01-29,"This item captures my debut celebration, a special milestone in my life. It shows the memorable moments, the people who shared this day with me, and the joy of celebrating my growth into a new chapter of life. Through this item, I share the excitement, memories, and significance of this important personal event.",Debut; Celebration; Coming-of-age; Personal milestone; Family and friends,Philippines,,,,,Image,jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
Childhood pic,child pic.jpg,,,Childhood picture,Glyza Mae Magno,2026-01-29,This item shows a picture of me as a child.,Childhood; Early life; Personal memories,Philippines,,,,,Image,jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
My friends,friends.jpg,,,My friends,Glyza Mae Magno,2026-01-29,"This item shows my friends, capturing the moments we shared together. It reflects our friendship, fun experiences, and memorable times.",Friendship,Philippines,,,,,Image,jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
My lolas,lola.jpg,,,My lolas,Glyza Mae Magno,2025-12-25,"This item shows my two grandmothers (lolas), capturing the love, care, and special moments I share with them. It reflects family bonding and the importance of grandparents in my life.",Grandmothers,Philippines,,,,,Image,jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
